economy,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
BTN,,,,,,,,,,,,,,,2.69045996665955,,,,,,4.87233018875122,5.12222003936768,5.54621982574463,6.58204984664917,6.29682016372681,6.57718143152316,7.70502526511554,7.60806024678839,10.362939215902,,,,14.8354989456323,14.9303808051574,15.9420291550317,16.8650740250552,14.7382447141292,14.5780698560857,15.0074996948242,13.011259392916
BWA,1.90848004817963,2.26826000213623,2.52163004875183,,,,4.35687017440796,,5.16587018966675,5.62313985824585,5.28647994995117,5.66145992279053,,5.96113014221191,6.25281000137329,6.98083019256592,7.48678016662598,7.80341005325317,9.07960033416748,9.56877994537354,9.23077964782715,10.0698099136353,10.2232799530029,14.2659397125244,21.9871006011963,19.5398902893066,17.5134506225586,21.6663608551025,26.3370990753174,24.8355648460166,26.8692925538756,22.6605855291776,21.4762885165012,,21.4965480211896,22.4017870513653,21.2032904951187,20.7095613715302,20.5658232475186,21.4087908549348
CAF,1.03316998481751,1.07129001617432,0.976400017738342,1.08144998550415,1.18874001502991,1.32114005088806,1.43098998069763,1.34974002838135,,,,,,,2.01588010787964,1.94369995594025,,,,1.66786003112793,,1.08675003051758,,2.16495990753174,2.30814003944397,2.53881001472473,2.95497989654541,2.77519989013672,,,,,,,,,,,,
CAN,,,,,,,,,,,,,,,,58.5191192626953,,58.4131507873535,,,,,63.8298110961914,64.3074111938477,63.6236991882324,61.8845901489258,63.1586990356445,63.603271484375,65.7477188110352,67.1677017211914,67.2690963745117,69.2459411621094,70.2687072753906,69.3507232666016,73.1128768920898,75.2389068603516,79.7657318115234,78.8488311767578,76.2666931152344,
CEB,,,,,,,,,,,,,,,35.614429473877,39.194709777832,43.7403717041016,48.1001586914062,51.3497581481934,54.1560592651367,57.1709289550781,60.1693992614746,63.0291404724121,67.3870162963867,70.2542572021484,71.1350784301758,69.3709716796875,67.0797119140625,65.7614822387695,64.334602355957,63.5147018432617,63.742748260498,64.2809066772461,64.793212890625,65.126091003418,65.5949325561523,67.2225112915039,69.6117095947266,68.5388870239258,68.5388870239258
CHE,,,,,,,,,,,,,,,,38.1127586364746,39.2238006591797,39.9602890014648,43.0505409240723,44.8805198669434,45.2465286254883,46.2847785949707,47.8155517578125,49.6888809204102,50.3034515380859,52.8040618896484,53.1352806091309,54.835620880127,56.1812400817871,58.0650596618652,60.8185615539551,61.1939888000488,62.4597206115723,64.3533935546875,66.3093414306641,68.0676422119141,71.893928527832,74.1526794433594,74.0060882568359,73.5430526733398
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,,,,,,,,35.4313201904297,,40.2664985656738,43.5181999206543,44.3284606933594,50.2735595703125,49.3216896057129,54.7230491638184,56.7743988037109,59.9912910461426,66.3445205688477,70.8241806030273,75.0770721435547,79.8703384399414,83.6629791259766,86.4181137084961,88.8458862304688,89.921989440918,91.1974792480469,92.0659713745117,89.1124877929688,96.2227935791016,99.3372802734375,104.734062194824,110.176902770996
CHN,2.19702005386352,2.78308010101318,3.05593991279602,3.09079003334045,3.01722002029419,3.00202989578247,2.88314008712769,2.81714010238648,2.93351006507873,3.77007007598877,4.65805006027222,5.27504014968872,5.79580020904541,6.25878000259399,6.61046981811523,7.57777976989746,9.28069019317627,11.8050804138184,14.513970375061,16.9004402160644,18.6565208435059,20.5667705535889,21.4715595245361,21.8667392730713,23.2886295318604,25.2883066277701,26.7875039907406,29.3081906903292,32.7191603158803,43.7110051016854,47.1192619330726,49.309077375597,51.0678812273407,53.3987984572814,56.6050917923292,61.6124675996947,66.8186077597542,71.5799465086024,74.5933014618366,76.8757843123403
CIV,2.22501993179321,,2.43722009658814,,,,,2.47028994560242,2.93564009666443,3.6460599899292,3.5975399017334,,5.41806983947754,,5.49134016036987,,,,,,,,7.9370698928833,7.48366022109985,7.18858003616333,6.53099472386889,2.92101759305363,,7.35426503598509,7.73897659286671,8.46433224598306,8.89557845705252,9.52488768872621,,10.3256981639741,10.2664091345849,10.7725833415282,11.1134926507622,11.5724272130065,12.3354902267456
