DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,SOC,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,70.2,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,75.3,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,63,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2017,67.4,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,70.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,75.6,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CIV,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,12.1,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CMR,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,8.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CMR,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,7.1,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CMR,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2020,10.3,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CMR,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,10,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),COD,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,5.2,,RT,PT,0,ILO - Social Security Inquiry Database,,,Social security coverage: National estimate,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),COK,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,86.3,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),COK,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),COL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,40.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),COL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,52.5,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
